title;publish_date;content;url
Cak Cuk Beri Pelatihan Solusi Lokal Pelestarian Benda Cagar Budaya;10/03/18 17.39;"
SLEMAN, KRJOGJA.com � Permasalahan pelestarian cagar budaya harus melihat kondisi masyarakat saat ini. Dengan begitu solusi yang ada sesuai dengan nilai-nilai lokal di masyarakat.
Hal tersebut mengemuka dalam �Pelatihan Merancang Solusi Lokal untuk Pelestarian Warisan Budaya Lokal� yang diselenggarakan oleh Komunitas Kandang Kebo, di basecamp di Ngalian, Widodomartani, Ngemplak, Sleman, Sabtu (10.03/2017). Acara tersebut diikuti belasan anggota komunitas yang datang dari berbagai latar belakang, akademisi, peneliti, karyawan swasta, mahasiswa hingga ibu rumah tangga.
Kegiatan pelatihan ini mengawali kegiatan Komunitas Kandang Kebo yang esok hari akan mengadakan �Blusukan Brutal�, Minggu (11/03/2017). Pelatihan sendiri menghadirkan Transpiosa Riomandha atau Cak Cuk, senior� blusukan dari #antrojalan2 sebagai workshop fasilitator.
Peserta diajak untuk mengenal dan memecahkan permasalahan pelestarian cagar budaya sesuai dengan kondisi masyarakat saat ini. Secara berkelompok peserta saling berdiskusi mengenai apa saja� masalah-masalah pelestarian dan pengelolaan cagar budaya yang belum bisa terselesaikan. Kemudian belasan peserta tersebut mencari akar masalah, solusi, dan mencari pihak-pihak yang mempu membantu mengatasi masalah.
�Semoga materi yang saya berikan hari ini membantu� dalam mengatasi permasalahan apa saja yang peserta hadapi. Karena sebenarnya apa yang saya sampaikan dapat menjadi alat untuk menyelesaiakn semua permasalahan yang ada di masyarakat termasuk pelestarian cagar budaya,� ujar Cak Cuk. (Fatimah Arum Utari)
";http://krjogja.com/web/news/read/60084/Cak_Cuk_Beri_Pelatihan_Solusi_Lokal_Pelestarian_Benda_Cagar_Budaya
Menapak Usia 22 Taahun, Melia Laundry Tanamkan Sikap Inovatif;10/03/18 10.30;"
YOGYA, KRJOGJA.com �- Puncak acara rangkaian HUT ke-22 Melia Laundry Group dikemas secara sederhana, namun khidmat. Tasyakuran ini ditandai dengan pemotongan tumpeng oleh Direktur Melia Laundry Anna Yulianti, Jumat (9/3) malam, di Waroeng Jeep Corner Jalan Sukun Janti Yogya.
Acara dihadiri seluruh staf manajemen, karyawan dan tamu undangan. Pada acara ini, manajemen perusahaan laundry waralaba ini juga memberikan penghargaan sepeda motor kepada lima karyawan yang telah mengabdi selama 10 tahun, yang diserahakan secara simbolis. Selain itu, pemberian beasiswa kepada putra-putri karyawan yang melanjutkan pendidikan ke jenjang yang lebih tinggi.�
Bagi karyawan muslim berprestasi mendapat penghargaan ibadah umroh dibiayai perusahaan. Pada kesempatan itu juga diberikan apresiasi kepada departemen dengan penilaian kinerja terbaik dan penilaian pelayanan konter terbaik.
Malam tasyakuran juga diselingi pemutaran video tentang pendiri Melia Laundry Group berjudul 'In Memoriam Fen Saparita' dan menyanyikan lagu-lagu kenangan yang sering didendangkan oleh almarhum. Tujuannya, agar karyawan tetap dapat mengingat semangat almarhum dalam bekerja.
Seusai memotong tumpeng, Anna menyampaikan ungkapan syukur atas perjalanan Melia Laundry Group yang kini sudah menginjak usia 22 tahun. Dia berharap kepada seluruh karyawan agar bersemangat dalam bekerja. ""Saya harap, kita bisa menjadi tim dengan kepedulian tinggi dalam melayani, profesioanal dalam bekerja, serta inovatif,"" harapnya.
Acara ditutup dengan makan bersama antara direksi, staff serta karyawan dan tamu yang hadir. Sebelumnya, berbagai rangkaian acara diselenggarakan untuk merayakan HUT ke-22 Melia laundry, berupa aksi sosial donor darah, bakti sosial ke panti asuhan, ziarah ke makam pendiri Melia Laundry, konvoi mobil valet, serta gathering karyawan dan keluarga.(Ben)
�
";http://krjogja.com/web/news/read/60071/Menapak_Usia_22_Taahun_Melia_Laundry_Tanamkan_Sikap_Inovatif
Layanan 4G LTE XL Axiata Makin Masuk ke Pelosok Sumatra dan Sulawesi;22/02/18 12.18;"
JAKARTA, KRJOGJA.com - PT XL Axiata Tbk (XL Axiata) terus melakukan perluasan jaringan layanan Data berkualitas di pulau Sumatra dan Sulawesi.� Mulai Januari 2018 ini, masyarakat yang tinggal di Kabupaten Aceh Singkil dan Kabupaten Nagan Raya di Provinsi Aceh, Kabupaten Gorontalo Utara (Gorontalo), dan Kabupaten Toraja Utara (Sulawesi Selatan) sudah dapat mengakses layanan 4G LTE dari XL Axiata.�
Hingga saat ini total ada 138 kota/kabupaten di Sumatra dan� 50 kota/kabupaten di Sulawesi yang telah terjangkau oleh layanan 4G LTE. Total saat ini telah beroperasi lebih dari 3900 BTS 4G di Sumatera dan Sulawesi� yang akan terus ditambah sesuai dengan kebutuhan untuk menjaga kualitas dan perluasan jangkauan.
Direktur Teknologi XL Axiata, Yessie D. Yosetya mengatakan tahun ini mereka kembali akan secara massif membangun infrastruktur data, termasuk di luar Jawa. Masuknya jaringan 4G LTE ke Kabupaten Aceh Singkil, Nagan Raya, Gorontalo Utara, dan Toraja Utara ini menunjukkan tekad XL Axiata untuk terus menjangkau area-area pelosok Nusantara.�
""Keempat daerah ini bisa dikatakan cukup pelosok, jauh dari kota-kota besar. Namun, kami melihat potensi dan peningkatan ekonomi yang bagus di sana dengan masyarakat merupakan pengguna aktif layanan data,"" kata Yessie. Hal ini sekaligus menunjukkan bahwa keberadaan layanan data yang berkualitas akan menjadi faktor pendorong kemajuan masyarakat di pelosok-pelosok daerah.


Yessie menambahkan, mengingat semakin meratanya permintaan layanan data yang berkualitas di berbagai daerah, XL Axiata menganggap saat ini merupakan momentum yang tepat untuk semakin berfokus pada penyediaan jaringan data berkualitas di kota-kota kecil atau area yang jauh dari kota besar.�
Dengan hadirnya layanan 4G LTE ini, XL Axiata berharap warga masyarakat yang berada di� Aceh Singkil, Nagan Raya, Gorontalo Utara dan Toraja Utara secara umum dan terutama para pelanggan, akan bisa memanfaatkan akses ke jaringan internet cepat dan layanan data berkualitas secara maksimal, terutama untuk tujuan-tujuan yang produktif.
Di Sumatera, jaringan 4G LTE telah melayani lebih dari 9 juta pelanggan di 138 kota/kabupaten, sedangkan di Sulawesi, total pelanggan 4G LTE mencapai sekitar 6 juta di 50 kota/kabupaten. Di sepanjang 2017, seiring dengan terus meluasnya layanan data berkualitas, termasuk 4G LTE, trafik layanan data meningkat hingga 2x atau meningkatan sebesar 148% dibandingkan periode yang sama setahun sebelumnya. (Apw/*)
";http://krjogja.com/web/news/read/58601/Layanan_4G_LTE_XL_Axiata_Makin_Masuk_ke_Pelosok_Sumatra_dan_Sulawesi
23 Maret, CongWayNdut Kolabarasi dengan Wayang Hip Hop;19/03/18 18.15;"
BANTUL, KRJOGJA.com - Kolaborasi Kocak,� antara Keroncong Wayang Gendut (Congwayndut) dari Surakarta dengan dalang gendut Dalang Berijazah serta Wayang Hip Hop Yogyakarta dalang�Ki Catur �Benyek� Kuncara akan berkolaborasi Sabtu (23/3/2018). Acara yang digagas Paguyuban Dalang Muda Sukrakasih ini akan berlangsung di Tembi Rumah Budaya, Bantul.
Berbeda dengan pementasan wayang biasa, pementasan wayang ini disampaikan dengan pergelaran karya kontemporer yang kocak.��Memperingati ulang tahun yang ke-7, Paguyuban Dalang Muda Sukrakasih menggelar karya kontemporer Kolaborasi Kocak, Congwayndut dengan Wayang Hip Hop Yogyakarta,� tutur Ki Sumanto sebagai ketua paguyuban.�
Paguyuban Dalang Muda Sukrakasih sendiri merupakan paguyuban dalang yang telah didirikan sejak 11 Maret 2011 lalu dan beranggotakan para dalang muda baik penggiat maupun pecinta pedalangan yang mencakup 4 kabupaten dan kota di Daerah Istimewa Yogyakarta.�
�Kolaborasi ini diharapkan dapat membuka wawasan bahwa wayang tak terbatas dan wayang tak hanya selebar daun kelor saja,� tambah Ki Sumanto.�
Kegiatan yang dilaksanakan oleh paguyuban ini bersifat terbuka dan meliputi komunikasi budaya, diskusi dan apresiasi seni, pementasan, hingga penelitian mengenai perdalangan di Yogyakarta.
�Paguyuban ini berdiri dengan keyakinan kuat bahwa kerukunan adalah modal yang paling berharga dalam sebuah proses berkesenian,� jelas Ki Sumanto tentang berdirinya Paguyuban Dalang Muda Sukrakasih. (Rahina Dyah Adani)
";http://krjogja.com/web/news/read/60911/23_Maret_CongWayNdut_Kolabarasi_dengan_Wayang_Hip_Hop
 38 Mahasiswa Indonesia Ikuti Young Sociopreneurship Leader;15/03/18 14.31;"
BANGKOK, KRJOGJA.com� - Sebanyak 38 mahasiswa se-Indonesia yang tergabung dalam program Asia Young Sociopreneurship Leaders� Exchange (AYSLE) 2018 mengunjungi KBRI Indonesia di Bangkok, Thailand pada Jumat 9 Maret 2018. Program ini diadakan oleh Youth Center To Act For Nation (YOUCAN) sebagai upaya peningkatan� kualitas generasi muda dan sebagai pemberdayaan pemuda.
Acara berlangsung sejak 7 Maret� 2018 hingga 11 Maret 2018. Salah satu dari perserta AYSLE juga ada yang berasal dari Filipina. Mereka berkompetisi dalam penulisan dan presentatsi paper tentang ide inovatif dari anak muda.�
Menurut Ketua Rombongan, Aan Fajar Lestari SS tujuan diadakannya kunjungan ke KBRI ini adalah untuk mengetahui lebih detail kegiatan KBRI� Indonesia di Thailand khususnya dalam bidang pendidikan dan untuk mengerti lebih mendalam hubungan bilateral Indonesia Thailand.� Kunjungan itu disambut oleh Atase Bidang Pendidikan dan Kebudayaan, Prof Dr Mustari MPd dan jajarannya.
Beliau menyampaikan senang sekali atas kunjungan tersebut dan mendukung adanya program pemberdayaan pemuda yang berbasis pendidikan. Pemberdayaan� pemuda memang sangat diperlukan dalam pembangunan bangsa karena Negara yang kuat harus memiliki generasi yang berkualitas.
Beliau menuturkan, ada 4 fungsi utama KBRI Indonesia di Bangkok ini, yaitu fungsi representasi, pembinaan, pengembangan dan perlindungan. selain itu beliau juga menambahkan, bahwa Thailand berhasil menarik setidaknya 1500 turis Indoensia per hari di Thailand.�
Beliau menghimbau, upaya apa yang bias pemuda Indonesia lakukan untuk menarik turis asing ke Indoensia? Setidaknya, semua bisa dilakukan dari memperbaiki� diri sendiri sebagai cerminan Negara Indonesia. Apabila sebuah Negara itu ramah, menyenangkan, bersih, dan nyaman tentu akan banyak turis yang datang.(*)
";http://krjogja.com/web/news/read/60655/38_Mahasiswa_Indonesia_Ikuti_Young_Sociopreneurship_Leader
Perempuan Pekerja Seni Segera Daftar, Ada Hibah Rp 3,5 Miliar !!;20/01/18 00.31;"
YOGYA, KRJOGJA.com - Cipta Media Ekspresi menyelenggarakan program pemberian hibah berupa dana langsung bagi para perempuan pekerja seni di Indonesia. Total dana yang disediakan sebesar Rp 3,5 miliar. Pengiriman berkas pendaftaran paling lambat 28 Maret 2018.
Sosialisasi tentang program hibah untuk perempuan pekerja seni berlangsung di Aula Kedai Kebun Forum dan diikuti oleh pekerja seni perempuan dari berbagai kalangan, Jumat (19/1/2018).
Dalam sosialisasi tersebut, disebutkan bahwa setiap pekerja seni perempuan di Indonesia memiliki kesempatan untuk mendapatkan hibah berupa dana langsung untuk membantu berjalannya proyek seni yang sedang mereka kerjakan.
""Siapa saja yang mengaku perempuan termasuk transgender yang berusia di atas 18 tahun terhitung April 2018,"" tutur Siska selaku panitia penyaluran hibah. Ia juga menambahkan bahwa pekerja seni perempuan yang terlibat tidak perlu harus ahli dan berpengalaman.
""Nggak ada pengalaman nggak masalah. Tapi, kalau WNA, harus yang sudah lama bekerja di Indonesia,"" tambah Siska mengenai kriteria pekerja seni yang dapat mengajukan proposal permintaan dana hibah.
Adanya hibah Cipta Media Ekspresi bagi pekerja seni perempuan dilatarbelakangi dengan adanya anggapan bahwa tingkat representasi perempuan di sebagian besar bidang kesenian sangat rendah.
Baik itu angka partisipasi perempuan dalam pameran seni rupa, pembuat kajian sejarah seni atau pencipta musik. Total dana hibah yang disediakan sendiri mencapai total 3,5 miliar rupiah untuk mereka yang lolos seleksi.
Seleksi permohonan hibah dilakukan oleh delapan orang juri perempuan, yaitu Aleta Baun (aktivis lingkungan dan politisi), Andy Yentriyani (aktivis perempuan dan keberagaman), Cecil Mariani (perancang grafis dan pelaku koperasi), Heidi Arbuckle (penggagas Hibah Cipta Media Ekspresi), Intan Paramaditha (penulis fiksi dan pelaku kajian media), Lisabona Rahman (ketua juri, pelaku arsip dan pendataan sejarah film), Naomi Srikandi (aktor/sutradara teater dan pegiat jaringan antara seniman dengan aktivis), serta Nyak Ina Raseuki (pesuara dan etnomusikolog).
Permohonan dana hibah dapat diajukan oleh pekerja seni perempuan sebelum tanggal 25 Maret 2018 pada pukul 23:00 WIB dan proyek yang dilaksanakan harus selesai maksimal pada tanggal 28 Februari 2019. Formulis pengajuan dana hibah dapat diakses pada www.ciptamedia.org. (Rahina Dyah Adani)
�
";http://krjogja.com/web/news/read/55644/Perempuan_Pekerja_Seni_Segera_Daftar_Ada_Hibah_Rp_3_5_Miliar
Trafik 4G LTE XL Axiata Melonjak Hingga 300%;04/01/18 11.25;"

BANDUNG, KRJOGJA.com -� Trafik layanan data PT XL Axiata Tbk (XL Axiata) pada liburan pergantian tahun 2017/2018 mengalami peningkatan yang melebihi trafik di hari biasa dan trafik di periode yang sama tahun lalu. Peningkatan trafik data terlihat terjadi di sepanjang 28 Desember 2017 hingga 1 Januari 2018.�
Selama 5 hari tersebut, trafik data secara rata-rata meningkat dari hari-hari biasa dan puncaknya pada malam pergantian tahun baru hingga tanggal 1 Januari 2018 yang mencapai sekitar 20%. Jika dibandingkan dengan periode yang sama pada periode liburan pergantian tahun 2016/2017, kenaikan trafik data mencapai 160% di tanggal 1 Januari 2018, bahkan untuk trafik layanan 4G LTE mencapai 300% di tanggal yang sama.
Direktur Teknologi XL Axiata, Yessie D Yosetya menyebutkan, trend kenaikan trafik akses video melalui layanan YouTube� di liburan Natal, berlanjut pada periode pergantian tahun dan mencapai kenaikan 15 kali lipat.
Sementara kenaikan trafik berbagai layanan data terjadi di sebagian besar wilayah layanan XL Axiata. Menurutnya, hal ini merupakan hasil dari upaya sepanjang tahun 2017. Dimana XL Axiata secara masif telah memperluas jangkauan jaringan internet cepat, baik 3G U900 maupun 4G LTE, di berbagai daerah, termasuk di ratusan kota/kabupaten di luar Jawa.
�Selain akses ke layanan data dan video streaming dan social media menjadi pendorong utama kenaikan trafik tersebut, kenaikan trafik yang kami raih juga tidak terlepas dengan semakin nyamannya pelanggan menggunakan layanann 4G LTE di berbagai daerah,"" kata Yessie
Ditambahkan hingga akhir Desember 2017, kota/kabupaten yang telah terjangkau layanan internet berkecepatan tinggi ini telah mencapai 360 kota, dengan jumlah pelanggan yang tentu juga terus meningkat. Dengan 4G LTE, akses ke konten-konten video dan film menjadi semakin baik dan nyaman untuk dinikmati.
Pelanggan XL Axiata juga mengisi liburan panjang Natal dan berlanjut Tahun Baru 2018 dengan beraktivitas melalui beragam sosial media. Facebook, Twitter, Instagram, LINE, dan Youtube masih menjadi tempat masyarakat dan pelanggan XL Axiata untuk menghabiskan aktivitasnya di dunia digital.
Secara rata-rata, akses ke media sosial berbagai platform tersebut naik sebesar 15%, di mana di puncak malam tahun baru kenaikannya mencapai sekitar 60%. Akses ke aplikasi Whatsapp menjadi yang paling tinggi kenaikannya, mencapai 70%, bahkan di malam tahun baru naik sampai dengan 1000% dibandingkan malam biasanya.�
Dari beragam media sosial tersebut, pelanggan mengakses informasi berita yang disediakan media, menyampaikan pesan pribadi, chatting, berbagi video live streaming, bahkan juga melakukan belanja. Sementara itu, kaum muda banyak mengakses layanan video di Youtube. Selain itu, akses ke video atau film juga banyak dilakukan di website atau aplikasi penyedia video on demand antara lain iflix.
Sementara itu terkait area dengan kenaikan trafik tertinggi, wilayah Central Java dan West Java� menyumbang kenaikan tertinggi dengan 29% dan 21%. Untuk wilayah kota besar lainnya di luar Jawa seperti Medan naik sekitar 5%, Makassar, 4%, Palembang 21%, Pontianak 22% dan Lampung 22 %. Sementara itu, di daerah tujuan wisata utama Bali, terjadi kenaikan sebesar 24%, Yogyakarta 27%, Bandung 13%.
XL Axiata telah menyiapkan jaringan dengan kapasitas yang memadai sehingga akan bisa menampung kenaikan trafik hingga 2 kali lipat dibandingkan hari-hari biasa. Selain itu, XL Axiata juga telah menyiapkan teknologi jaringan canggih yang akan bisa mengalihkan kepadatan trafik di suatu tempat ke tempat lain yang lebih longgar. (*)

";http://krjogja.com/web/news/read/54211/Trafik_4G_LTE_XL_Axiata_Melonjak_Hingga_300
Fosipa Salurkan Bantuan Korban 'Cempaka';02/12/17 11.04;"
YOGYA, KRJOGJA.com - Forum Silahturahmi Insan Pariwisata (Fosipa) menyalurkan bantuan dari donatur untuk korban bencana akibat imbas badai siklon 'Cempaka', Jumat (1/12/2017). Bantuan diperuntukan bagi korban di wilayah Bantul, Wonosari, dan Pacitan.�
Ketua Fosipa Sunardi atau akrab dipanggil Haji Edo mengatakan bantuan berasal dari insan pariwisata yang tersebar di wilayah Indonesia. ""Ini sebagai bentuk kepedulian kami kepada para korban, minimal ini bisa meringankan beban mereka,"" kata Haji Edo.�
Selain bantuan uang tunai, anggota Fosipa ada juga yang menyumbangkan selimut dan kaos baru untuk para korban. ""Terimakasih kepada semua rekan-rekan pelaku pariwisata baik dari travel agent, hotel, resto, catering, transport yang tidak bisa kami sebutkan satu persatu,"" kata Jajang Sukendar dari Fosipa.
Menurut Jajang, bantuan untuk korban bencana di Pacitan akan dikoordinasikan dengan relawan yang ada di kabupaten tersebut. (Apw)
";http://krjogja.com/web/news/read/51154/Fosipa_Salurkan_Bantuan_Korban_Cempaka
Film, Literasi, dan Tantangan Remaja Jadi Bahasan FFPJ;17/12/17 11.44;"
YOGYA, KRJOGJA.com - Bagaimana seharusnya pelajar berpikir, bersikap, dan berperilaku dalam pusaran berbagai peristiwa di era milenial ini? Setiap zaman memiliki tantangannya masing-masing.
Termasuk hari ini, ketika film dan seni-media secara umum dianggap memiliki kekuatan, yang salah satunya adalah mempengaruhi persepsi publik.� Hal tersebut menjadi perhatian FFPJ kali ini, sehingga seminar nasional FFPJ ke 8 ini mengangkat �Film Literasi, dan Tantangan Remaja di Era Millenial�.
Acara seminar nasional ini dibersamai oleh narasumber baik dari kalangan akademisi dan dari yayasan anak. Muzayin Nazarudin, MA dosen Ilmu Komunikasi UII, Pembicara Dyna Herlina, M.Sc dosen Ilmu Komunikasi UNY, dan Susilo Adinegoro dari Yayasan Anak Akar Institute� mengajak para generasi muda untuk berdiskusi membahas topik ini bersama di Pondok Pemuda Ambarbinangun.
Creative Peergroup Youth Commnity menjadi topik pertama yang disampaikan dalam Seminar Nasional FFPJ #8 kali ini. Melihat bahwa Indonesia memiliki masyarakat yang majemuk, banyak etnis dan agama. Seringkali, terjadi permasalahan ketika teknologi komunikasi yang digunakan secara tidak bijak berhadapan dengan masyarakat.
�Peran pemuda diperlukan untuk inisiator pergerakan sekaligus motor gerakan sosial yang mempromosikan perdamaian dan pemberdayaan masyarakat� ungkap Muzayin Nazzarudin MA, Dosen Ilmu Komunikasi UII.
Pemuda merupakan segmen sosial yang dapat menggerakan setiap segmen sosial dari kelompok sosial dalam masyarakat Dengan adanya Youth Peer-group, kelompok pemuda dapat membentuk komunitas-komunitas guna menangani masalah-masalah yang ada.
Misal, dengan menjadi filmmaker, fotografer, penulis, pemuda dilatih untuk menghasilkan hal-hal bermanfaat dengan berbasis kepada hobi, minat, kecanduan akan seni, dan lain-lain.

��� �

Dyna Herlina memaparkan bahwa dalam generasi milennial, ada beberapa kegiatan yang dominan: games, browsing, social media dan messaging. Hal-hal tersebut dilakukan secara terus-menerus dengan lama, namun biasanya tanpa menemukan konklusi yang berarti.
Ada resiko-resiko yang disebabkan oleh media digital, mulai dari hoax, bullying, konten seksual, konten berbahaya, serta konstruksi sosial akan penampilan diri yang seringkali membuat banyak orang tidak dapat menerima dirinya sendiri.
Ia menjelaskan beberapa langkah atau cara yang bisa dtempuh agar dapat bijaksana dalam menggunakan media digital: Be mindful. Connected, terlibatlah dalam dunia sosial, Active, lakukan kegiatan-kegiatan yang membutuhkan pergerakan fisik.
Get creative, manfaatkan media digital sebagai media untuk meningkatkan kreativitas. Give to others, sharing dengan orang lain. Berbagilah konten-konten positif kepada sesama.
Media digital juga memberikan kesempatan untuk turut berpartisipasi dalam ekonomi digital. Dengan media digital yang dimanfaatkan dalam berkomunitas, kegiatan-kegiatan komunitas dapat dilaksanakan secara lebih efektif dan efisien sehingga menjadi lebih optimal.
Susilo Adinegoro menyatakan bahwa tidak bisa dipungkiri, dunia yang berubah secara cepat di era digital ini, tidak turut serta diikuti dengan perubahan cara berpikir yang cepat juga. Ada kesenjangan yang terdapat di antara orang tua dan anak-anak muda di zaman sekarang.
Penggunaan internet yang tidak produktif oleh anak muda merupakan kesalahan para orang tuanya juga. Oleh sebab itu, perlunya perubahan pola pikir untuk menjadi orang tua yang patisipatoris.
Susilo menambahkan bahwa bahwa pembuatan film pelajar ini adalah salah satu pemanfaatan media digital dengan produktif. Ia menegaskan bahwasanya film bukan hanya soal teknis melainkan konten juga mesti diperhatikan. Kemampuan membuat konten ini menurutnya, didapatkan dari menguatkan literasi melalui membaca dan berdiskusi. Ia menambahkan dalam diskusi itu juga bukan hanya sekedar teknis tetapi juga bagaimana proses film itu dibuat. (*)
�
";http://krjogja.com/web/news/read/52558/Film_Literasi_dan_Tantangan_Remaja_Jadi_Bahasan_FFPJ
Malam Ini 7 Desember, Bincang  'Layanan Perbankan Zaman Now' di KR ;01/12/17 07.20;"
YOGYA, KRJOGJA.com��- Bank Mandiri Yogyakarta bekerja sama dengan KRJogja.com��serta didukung Bank Indonesia menyelenggarakan Bincang Digital Banking 'Layanan Perbankan Zaman Now' di selasar Angkringan KR, Kamis (06/12). Acara yang terbuka untuk umum dan gratis ini akan mengulas tentang layanan bank terkini sekaligus keinginan dari generasi milenia tentang layanan bank yang diinginkan. Acara berlangsung mulai pukul 19:00 - 21:00 WIB.
Koordinator Acara Widyo Suprayogi mengatakan, acara akan menghadirkan pembicara Deputi Direktur Wakil Kepala Bank Indonesia DIY, Kepala Divisi Sistem Pembayaran dan Pengelolaan Uang Rupiah Sri Fitriani. Juga perwakilan dari Bank Mandiri Yogyakarta serta Aef Anas, blogger serta founder ngepop.com�serta�Chief Technology Officer (CTO) studiokonten.com.
""Peserta kami batasi 100 orang, jadi anak muda atau masyarakat umum yang mau datang kami persilahkan. Kami menyediakan menu angkringan gratis, juga akan ada doorprize untuk pengunjung,"" kata Widyo Suprayogi.�
Acara akan dipandu oleh komedian Anang Batas serta dimeriahkan oleh akustik dari Nuvi and Friends. Pengunjung bisa melakukan registrasi di lokasi acara. (Apw)
�
";http://krjogja.com/web/news/read/51604/Malam_Ini_7_Desember_Bincang_Layanan_Perbankan_Zaman_Now_di_KR
